reaction_id	pmid	source	pdf_page	match_score	supporting_quote	hl_terms	alt_page	alt_quote
ssc_M1_001	23258413	pmc		5.61	Knockdown of cGAS inhibited IRF3 activation and IFNβ induction by DNA transfection or DNA virus infection. cGAS bound to DNA in the cytoplasm and catalyzed cGAMP synthesis.	cGAMP|cGAS|IFN		Thus, the expression levels of m-cGAS and h-cGAS in different cell lines correlated with the ability of these cells to produce cGAMP and induce IFNβ in response to cytosolic DNA (4, 10).
ssc_M1_002	23258412	pmc		4.67	Finally, we examined whether STING binds to cGAMP directly.	cGAMP|STING		These results demonstrate that STING is necessary for cGAMP to activate IRF3.
ssc_M1_003	25636800	abstract		5.61	Phosphorylated MAVS and STING then bind to a positively charged surface of interferon regulatory factor 3 (IRF3) and thereby recruit IRF3 for its phosphorylation and activation by TBK1.	STING|IRF3|TBK1		Phosphorylation of innate immune adaptor proteins MAVS, STING, and TRIF induces IRF3 activation.
ssc_M1_005	12855817	abstract		2.64	TRIF-deficient mice were defective in both TLR3- and TLR4-mediated expression of IFN-beta and activation of IRF-3.	TLR3|TRIF		These findings demonstrate that TRIF is essential for TLR3- and TLR4-mediated signaling pathways facilitating mammalian antiviral host defense.
ssc_M1_006	15361868	abstract		2.65	A subset of TLRs, TLR7, TLR8 and TLR9, induces antiviral responses by producing interferon-alpha (IFN-alpha).	TLR7|TLR9		Interferon-alpha induction through Toll-like receptors involves a direct interaction of IRF7 with MyD88 and TRAF6.
ssc_M1_007	15800576	abstract		3.65	Viral induction of MyD88-independent IFN-alpha/beta genes is severely impaired in Irf7-/- fibroblasts.	Irf7|IFN-alpha		Using mice deficient in the Irf7 gene (Irf7-/- mice), we show that the transcription factor IRF-7 is essential for the induction of IFN-alpha/beta genes via the virus-activated, MyD88-independent pathway and the TLR-activated, MyD88-dependent pathway.
ssc_M1_013	37251373	abstract		1.60	Here, we summarize recent advances in the role of IRF7 as a multifunctional transcription factor in inflammation, cancer and infection by regulating IFN-I production or IFN-I-independent signaling pathways.	IRF7		Activation of IRF7 inhibits various viral and bacterial infections and suppresses the growth and metastasis of some cancers, but it may also affect the tumor microenvironment and promote the development of other cancers.
ssc_M1_014	11706989	pdf	3	3.60	SOCS-1 can interact directly with JAK1, JAK2 and Tyk2, and inhibit their phosphorylation and catalytic activity, thereby downregulating JAK-dependent phosphorylation of receptors and STATS [7, 8, 30].	SOCS-1|JAK1	3	SOCS-3 inhibits many of the same signalling pathways as SOCS-1, and coimmunoprecipitates with JAK2; however, overexpression of SOCS-3 does not inhibit the in vitro kinase activity of JAK1 or JAK2 [30].
ssc_M1_015	31662487	pdf	27	3.67	Kinetics of IRF3 and IRF7 expression after TLR7 and TLR8 stimulation.	TLR8|IRF7	17	These results were similar to the pattern of IRF3 and IRF7 expression observed upon TLR8 stimulation as compared to vehicle-treated cells at similar time points (fig S7).
ssc_M1_016	32707718	pmc		6.61	Anti-CXCL4 antibodies may further increase pDC stimulation and IFN-α release in vivo, creating a vicious cycle which sustains the SSc IFN-I signature and general inflammation.	IFN-α|pDC|CXCL4|IFN		The capacity of anti-CXCL4 antibodies to increase the effect of CXCL4–huDNA complexes on pDC activation and IFN-α release can be mediated by facilitation of CXCL4–DNA complex entry into the pDCs via Fc receptors.
ssc_M1_017	20231204	abstract		3.92	OBJECTIVE: Identification of an association between IRF5 rs2004640 and systemic sclerosis (SSc) has highlighted a key role for type 1 interferon (IFN).	IRF5|type 1 interferon|IFN		
ssc_M1_018	32707718	pmc		2.61	Antibodies to CXCL4 for pDC stimulation were from Biotechne (Minneapolis, MN, USA, human CXCL4/PF4 Antibody antigen affinity-purified Polyclonal Goat IgG, Catalog Number: AF795).	PF4|CXCL4		CXCL4 protects the DNA form degradation and allows DNA entry into the cells, while organizing it into periodic liquid crystalline structures with an inter-DNA spacing well matched with the steric size of TLR9.
ssc_M1_019	32707718	pmc		6.60	Antibodies to CXCL4 implement the CXCL4–DNA complex’s effect on IFN-α production by pDCs; CXCL4–DNA/RNA complexes stimulate purified human B-cells to become antibody-secreting plasma cells in vitro.	production|IFN-α|pDCs|IFN		The capacity of anti-CXCL4 antibodies to increase the effect of CXCL4–huDNA complexes on pDC activation and IFN-α release can be mediated by facilitation of CXCL4–DNA complex entry into the pDCs via Fc receptors.
