reaction_id	module	type	mechanism	reactants	products	modifiers	ssc_relevance	evidence_code	validation_status	lit_search_needed	suggested_action
ssc_M1_012	M1	contributes	Combined ISG response (IFI44 + ISG15 + IFIT1 + IFIT3 + MX family + OAS family) converges on ISG signature phenotype	ISG_signature__nuc	phenotype_ISG_signature__cell		clinical readout — IFN signature drives the inflammatory intrinsic subset (Whitfield/Tabib)	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M1_013	M1	binding	IRF7 cytosolic phospho-form translocates to nucleus	IRF7__cyto	IRF7_p__nuc		IRF7 activation closes the loop	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M1_014	M1	degradation	SOCS1 + PTPN2 inhibit JAK1 to dampen IFN signalling	SOCS1__cyto;PTPN2__cyto	JAK1_inhibited__cyto		IFN negative feedback	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M1_015	M1	activation	TLR8 endosomal ssRNA sensing → MyD88 → IRF7	TLR8__endo	IRF7_p__nuc		TLR8 covers ssRNA sensing branch	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M2_014	M2	transcription	SMAD3:SMAD4 induces LOX/LOXL2 transcription	SMAD3p_SMAD4__nuc	LOX__ecm;LOXL2__ecm	SMAD3p_SMAD4__nuc	collagen cross-linking enzymes; LOXL2 anti-fibrotic target (simtuzumab fail but rationale stands)	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M2_015	M2	catalysis	LOX/LOXL2 cross-link collagens, stiffen ECM	COL1A1__ext;COL3A1__ext	stiffened_ECM__ecm	LOX__ecm;LOXL2__ecm	matures fibrosis; mechanical feedback to YAP/TAZ	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M2_016	M2	state_change	ECM stiffness activates RHOA → ROCK1/2 → YAP1/TAZ nuclear translocation	stiffened_ECM__ecm	YAP1_TAZ_active__nuc	RHOA__cyto;ROCK1__cyto;ROCK2__cyto	mechanotransduction loop; verteporfin candidate	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M2_021	M2	contributes	Activated fibroblast with ACTA2+ stress fibers becomes myofibroblast	ACTA2__cyto;fibroblast_proFibrotic__cell	phenotype_myofibroblast_activation__cell		disease-defining cellular phenotype	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M2_022	M2	contributes	Sustained collagen/FN1/POSTN/COMP/CTGF/LOX deposition is ECM deposition phenotype	COL1A1__ext;COL3A1__ext;FN1__ecm;POSTN__ecm;COMP__ecm;CTGF__ext	phenotype_ECM_deposition__ecm		clinical readout aligned with mRSS	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M2_023	M2	transcription	SMAD3:SMAD4 induces COL1A2, COL5A1, COL5A2, TNC transcription (extended ECM battery)	SMAD3p_SMAD4__nuc	COL1A2__ext;COL5A1__ext;COL5A2__ext;TNC__ecm	SMAD3p_SMAD4__nuc	completes the ECM transcription panel	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M2_024	M2	transcription	YAP1 / TAZ co-activates mechanosensitive ECM genes including COL5A1 + TNC	YAP1_TAZ_active__nuc	COL5A1__ext;TNC__ecm;COL1A1__ext	YAP1_TAZ_active__nuc	mechanotransduction-driven ECM contribution	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M2_025	M2	state_change	TAZ enters the YAP1/TAZ active nuclear complex	TAZ__cyto;YAP1__cyto	YAP1_TAZ_active__nuc		YAP/TAZ shuttling under mechanical signal	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_002	M3	state_change	EDN1:EDNRA → Gq/PLC → IP3 → cytosolic Ca²⁺ → smooth-muscle contraction (vasoconstriction)	EDN1_EDNRA_complex__pm	vasoconstriction__cell		vasomotor tone; SSc Raynaud + intimal proliferation	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_003	M3	catalysis	eNOS (NOS3) in endothelial cells produces NO	NOS3__pm	NO__ext		vasoprotective axis; impaired in SSc vasculopathy	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_004	M3	catalysis	NO activates soluble guanylate cyclase (sGC) to produce cGMP	NO__ext	cGMP__cyto		riociguat target (sGC stimulator) — SSc-PAH (RISE-SSc)	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
